month,region,plan,contract_type,new_customers,churned_customers,revenue_usd
2024-01,NA,Starter,monthly,174,34,18347.54
2024-01,NA,Pro,monthly,47,7,42202.49
2024-01,NA,Enterprise,monthly,15,2,103657.21
2024-01,EMEA,Starter,monthly,103,24,11025.69
2024-01,EMEA,Pro,monthly,26,4,27964.77
2024-01,EMEA,Enterprise,monthly,9,2,64650.76
2024-01,APAC,Starter,monthly,62,10,7191.08
2024-01,APAC,Pro,monthly,17,4,16473.18
2024-01,APAC,Enterprise,monthly,5,1,36679.21
2024-02,NA,Starter,monthly,176,30,18630.29
2024-02,NA,Pro,monthly,44,10,42298.47
2024-02,NA,Enterprise,monthly,14,4,101158.43
2024-02,EMEA,Starter,monthly,82,14,11378.21
2024-02,EMEA,Pro,monthly,27,7,27840.17
2024-02,EMEA,Enterprise,monthly,9,2,64239.35
2024-02,APAC,Starter,monthly,59,12,6899.48
2024-02,APAC,Pro,monthly,15,3,16599.23
2024-02,APAC,Enterprise,monthly,5,1,33842.44
2024-03,NA,Starter,monthly,172,37,18776.73
2024-03,NA,Pro,monthly,50,7,44362.69
2024-03,NA,Enterprise,monthly,16,2,100520.95
2024-03,EMEA,Starter,monthly,95,14,11827.43
2024-03,EMEA,Pro,monthly,30,5,27834.62
2024-03,EMEA,Enterprise,monthly,8,2,62065.57
2024-03,APAC,Starter,monthly,58,12,7189.92
2024-03,APAC,Pro,monthly,19,3,16921.80
2024-03,APAC,Enterprise,monthly,5,1,33882.28
2024-04,NA,Starter,monthly,157,23,18398.86
2024-04,NA,Pro,monthly,43,10,42902.77
2024-04,NA,Enterprise,monthly,13,3,100206.65
2024-04,EMEA,Starter,monthly,98,25,11763.55
2024-04,EMEA,Pro,monthly,25,5,28325.88
2024-04,EMEA,Enterprise,monthly,10,2,62479.51
2024-04,APAC,Starter,monthly,69,10,7315.66
2024-04,APAC,Pro,monthly,19,5,16886.61
2024-04,APAC,Enterprise,monthly,5,1,35797.79
2024-05,NA,Starter,monthly,145,24,18982.34
2024-05,NA,Pro,monthly,50,10,44283.33
2024-05,NA,Enterprise,monthly,14,3,105253.18
2024-05,EMEA,Starter,monthly,103,23,11529.82
2024-05,EMEA,Pro,monthly,33,7,29765.06
2024-05,EMEA,Enterprise,monthly,8,1,66626.82
2024-05,APAC,Starter,monthly,70,9,7368.14
2024-05,APAC,Pro,monthly,17,4,17232.84
2024-05,APAC,Enterprise,monthly,6,1,37564.17
2024-06,NA,Starter,monthly,148,36,19478.63
2024-06,NA,Pro,monthly,50,12,44170.90
2024-06,NA,Enterprise,monthly,13,3,106307.92
2024-06,EMEA,Starter,monthly,107,20,11659.62
2024-06,EMEA,Pro,monthly,30,5,29858.41
2024-06,EMEA,Enterprise,monthly,10,3,67722.44
2024-06,EMEA,Enterprise,annual_prepay,1,0,41500.00
2024-06,APAC,Starter,monthly,63,11,7663.30
2024-06,APAC,Pro,monthly,19,4,17096.48
2024-06,APAC,Enterprise,monthly,6,1,38438.53
2024-07,NA,Starter,monthly,145,30,19567.21
2024-07,NA,Pro,monthly,45,10,44727.92
2024-07,NA,Enterprise,monthly,15,3,107599.01
2024-07,EMEA,Starter,monthly,111,25,12081.36
2024-07,EMEA,Pro,monthly,26,5,29895.17
2024-07,EMEA,Enterprise,monthly,9,2,66814.78
2024-07,APAC,Starter,monthly,57,8,7586.47
2024-07,APAC,Pro,monthly,16,3,17955.45
2024-07,APAC,Enterprise,monthly,5,1,38461.02
2024-08,NA,Starter,monthly,180,24,20577.66
2024-08,NA,Pro,monthly,47,10,46659.81
2024-08,NA,Enterprise,monthly,15,3,105763.77
2024-08,EMEA,Starter,monthly,100,14,12052.51
2024-08,EMEA,Pro,monthly,33,5,31293.61
2024-08,EMEA,Enterprise,monthly,11,3,70308.90
2024-08,APAC,Starter,monthly,65,14,7848.33
2024-08,APAC,Pro,monthly,20,4,18160.55
2024-08,APAC,Enterprise,monthly,6,2,39072.13
2024-09,NA,Starter,monthly,177,24,20700.30
2024-09,NA,Pro,monthly,49,12,46581.74
2024-09,NA,Enterprise,monthly,16,2,110606.24
2024-09,EMEA,Starter,monthly,95,15,12213.31
2024-09,EMEA,Pro,monthly,29,6,30083.75
2024-09,EMEA,Enterprise,monthly,11,3,68002.66
2024-09,APAC,Starter,monthly,65,15,8217.01
2024-09,APAC,Pro,monthly,16,3,18042.84
2024-09,APAC,Enterprise,monthly,6,1,38981.64
2024-10,NA,Starter,monthly,159,39,20665.22
2024-10,NA,Pro,monthly,48,10,47117.96
2024-10,NA,Enterprise,monthly,15,3,110947.09
2024-10,EMEA,Starter,monthly,119,21,13239.23
2024-10,EMEA,Pro,monthly,31,4,30354.19
2024-10,EMEA,Enterprise,monthly,10,2,71119.35
2024-10,APAC,Starter,monthly,73,14,8270.04
2024-10,APAC,Pro,monthly,21,5,18442.93
2024-10,APAC,Enterprise,monthly,6,2,40488.37
2024-11,NA,Starter,monthly,177,23,20827.33
2024-11,NA,Pro,monthly,45,11,48229.86
2024-11,NA,Enterprise,monthly,16,2,109499.23
2024-11,EMEA,Starter,monthly,124,28,13136.63
2024-11,EMEA,Pro,monthly,28,4,32033.09
2024-11,EMEA,Enterprise,monthly,10,2,74898.66
2024-11,APAC,Starter,monthly,70,9,8508.46
2024-11,APAC,Pro,monthly,19,4,19019.86
2024-11,APAC,Enterprise,monthly,5,1,39954.16
2024-12,NA,Starter,monthly,175,40,20659.42
2024-12,NA,Pro,monthly,43,5,47321.90
2024-12,NA,Enterprise,monthly,15,3,107485.22
2024-12,EMEA,Starter,monthly,115,18,12554.09
2024-12,EMEA,Pro,monthly,30,5,30995.91
2024-12,EMEA,Enterprise,monthly,11,2,68990.83
2024-12,APAC,Starter,monthly,60,8,7688.82
2024-12,APAC,Pro,monthly,19,3,17021.10
2024-12,APAC,Enterprise,monthly,5,1,38208.33
2025-01,NA,Starter,monthly,183,33,23136.69
2025-01,NA,Pro,monthly,55,8,52137.19
2025-01,NA,Enterprise,monthly,19,4,124053.08
2025-01,EMEA,Starter,monthly,111,19,13903.94
2025-01,EMEA,Pro,monthly,31,4,33671.55
2025-01,EMEA,Enterprise,monthly,10,3,76448.63
2025-01,APAC,Starter,monthly,73,11,8914.58
2025-01,APAC,Pro,monthly,21,3,20738.84
2025-01,APAC,Enterprise,monthly,5,1,43091.25
2025-02,NA,Starter,monthly,194,42,21843.62
2025-02,NA,Pro,monthly,53,13,51277.48
2025-02,NA,Enterprise,monthly,20,3,124260.25
2025-02,EMEA,Starter,monthly,124,32,13426.12
2025-02,EMEA,Pro,monthly,32,7,32465.59
2025-02,EMEA,Enterprise,monthly,10,2,77916.55
2025-02,APAC,Starter,monthly,69,18,8640.76
2025-02,APAC,Pro,monthly,23,5,20665.79
2025-02,APAC,Enterprise,monthly,6,1,43480.24
2025-03,NA,Starter,monthly,183,23,23644.69
2025-03,NA,Pro,monthly,48,10,51081.42
2025-03,NA,Enterprise,monthly,16,3,117784.16
2025-03,NA,Enterprise,annual_prepay,1,0,851000.00
2025-03,EMEA,Starter,monthly,127,30,13414.07
2025-03,EMEA,Pro,monthly,30,7,34242.54
2025-03,EMEA,Enterprise,monthly,11,3,74733.44
2025-03,APAC,Starter,monthly,76,19,9199.48
2025-03,APAC,Pro,monthly,22,3,20326.82
2025-03,APAC,Enterprise,monthly,6,1,42322.18
2025-04,NA,Starter,monthly,192,46,22679.99
2025-04,NA,Pro,monthly,53,13,56029.34
2025-04,NA,Enterprise,monthly,18,4,123675.88
2025-04,EMEA,Starter,monthly,106,18,14403.99
2025-04,EMEA,Pro,monthly,33,5,35447.39
2025-04,EMEA,Enterprise,monthly,11,1,75525.79
2025-04,APAC,Starter,monthly,72,11,8991.15
2025-04,APAC,Pro,monthly,22,5,20927.50
2025-04,APAC,Enterprise,monthly,7,2,45425.75
2025-05,NA,Starter,monthly,208,28,23765.18
2025-05,NA,Pro,monthly,60,12,56378.96
2025-05,NA,Enterprise,monthly,17,4,125326.55
2025-05,EMEA,Starter,monthly,131,19,14619.78
2025-05,EMEA,Pro,monthly,37,10,36445.88
2025-05,EMEA,Enterprise,monthly,10,2,76781.60
2025-05,APAC,Starter,monthly,70,11,9305.91
2025-05,APAC,Pro,monthly,24,6,21446.26
2025-05,APAC,Enterprise,monthly,6,1,45083.13
