ticket_id,opened_at,region,channel,priority,category,agent,first_response_minutes,resolution_hours,reopened,satisfaction
TCK-1001,2025-09-01 14:14:55,APAC,in_app,urgent,feature_request,c.duarte,23,18.97,false,4
TCK-1002,2025-09-01 15:44:56,APAC,chat,urgent,onboarding,l.svensson,15,2.02,false,4
TCK-1003,2025-09-01 16:58:06,NA,in_app,urgent,billing,m.tanaka,20,1.18,false,4
TCK-1004,2025-09-02 00:29:54,APAC,chat,normal,performance,l.svensson,27,,false,
TCK-1005,2025-09-02 02:04:34,NA,email,urgent,bug,j.okafor,5,5.55,false,5
TCK-1006,2025-09-02 09:32:29,APAC,in_app,urgent,integrations,j.okafor,4,11.68,false,4
TCK-1007,2025-09-02 13:43:50,EMEA,in_app,low,bug,p.nair,113,21.16,false,5
TCK-1008,2025-09-02 19:27:20,EMEA,email,low,bug,a.rossi,34,33.82,false,4
TCK-1009,2025-09-02 22:38:48,APAC,email,low,performance,j.okafor,110,26.71,false,4
TCK-1010,2025-09-02 23:49:42,NA,chat,urgent,onboarding,c.duarte,15,3.54,false,5
TCK-1011,2025-09-03 06:59:00,APAC,in_app,normal,billing,p.nair,95,4.66,false,4
TCK-1012,2025-09-03 11:20:48,APAC,in_app,high,bug,j.okafor,53,16.83,false,4
TCK-1013,2025-09-03 17:37:07,EMEA,phone,urgent,onboarding,l.svensson,14,2.14,true,5
TCK-1014,2025-09-03 22:32:26,APAC,in_app,normal,onboarding,a.rossi,18,7.33,false,5
TCK-1015,2025-09-04 00:15:32,EMEA,email,low,integrations,p.nair,146,59.37,false,5
TCK-1016,2025-09-04 02:26:40,APAC,phone,urgent,billing,m.tanaka,27,1.17,false,4
TCK-1017,2025-09-04 08:06:27,EMEA,phone,high,bug,c.duarte,31,16.88,true,4
TCK-1018,2025-09-04 14:03:30,APAC,email,low,bug,l.svensson,75,28.44,false,4
TCK-1019,2025-09-04 20:12:57,NA,phone,high,billing,c.duarte,17,3.01,false,3
TCK-1020,2025-09-05 02:18:21,NA,email,high,integrations,l.svensson,52,30.52,true,5
TCK-1021,2025-09-05 09:19:05,EMEA,chat,urgent,integrations,a.rossi,18,8.02,true,4
TCK-1022,2025-09-05 13:03:33,APAC,in_app,normal,billing,l.svensson,62,5.99,false,5
TCK-1023,2025-09-05 19:54:51,NA,phone,normal,feature_request,c.duarte,30,35.16,true,4
TCK-1024,2025-09-06 03:04:27,APAC,email,urgent,performance,j.okafor,18,,false,
TCK-1025,2025-09-06 08:01:10,NA,in_app,urgent,feature_request,c.duarte,28,22.63,false,5
TCK-1026,2025-09-06 13:56:27,NA,chat,urgent,feature_request,c.duarte,9,14.11,false,4
TCK-1027,2025-09-06 15:29:56,NA,chat,urgent,onboarding,m.tanaka,10,3.40,false,5
TCK-1028,2025-09-06 16:56:29,EMEA,in_app,urgent,integrations,m.tanaka,19,9.81,false,4
TCK-1029,2025-09-07 00:51:14,EMEA,phone,high,performance,p.nair,14,9.98,false,4
TCK-1030,2025-09-07 06:39:05,NA,email,low,performance,j.okafor,75,30.16,false,3
